diseaseId,diseaseName,diseaseType,diseaseClass,diseaseSemanticType,NofGenes,NofPmids
C0023890,"Liver Cirrhosis",disease,C23;C06,"Disease or Syndrome",1182,2030
C0023891,"Liver Cirrhosis, Alcoholic",disease,C23;C06;C25,"Disease or Syndrome",126,109
C0023892,"Biliary cirrhosis",disease,C23;C06,"Disease or Syndrome",132,82
C0023893,"Liver Cirrhosis, Experimental",disease,C23;C06,"Experimental Model of Disease",870,204
C0023895,"Liver diseases",group,C06,"Disease or Syndrome",1019,1734
C0023896,"Alcoholic Liver Diseases",group,C06;C25,"Disease or Syndrome",195,257
C0023897,"Liver Diseases, Parasitic",group,C06;C01,"Disease or Syndrome",9,2
C0023903,"Liver neoplasms",group,C06;C04,"Neoplastic Process",1424,1879
C0023904,"Liver Neoplasms, Experimental",phenotype,C06;C04,"Neoplastic Process; Experimental Model of Disease",152,81
C0023931,"Lobstein Disease",disease,C16;C17;C05,"Disease or Syndrome",13,154
C0023944,"Locked-In Syndrome",phenotype,C23;C10,"Disease or Syndrome",5,5
C0023976,"Long QT Syndrome",disease,C23;C16;C14,"Disease or Syndrome",105,841
C0023980,Longevity,phenotype,NULL,"Temporal Concept",48,9
C0024003,Lordosis,phenotype,C05,"Disease or Syndrome",160,28
C0024025,"Louping Ill",disease,C01;C22,"Disease or Syndrome",2,1
C0024031,"Low Back Pain",phenotype,C23,"Sign or Symptom",88,82
C0024043,"Low T3 Syndrome",disease,C19,"Disease or Syndrome",3,2
C0024054,"Lown-Ganong-Levine Syndrome",disease,C14,"Disease or Syndrome",9,7
C0024106,"Lumpy Skin Disease",disease,C01;C22,"Disease or Syndrome",12,2
C0024110,"Lung Abscess",disease,C01;C08,"Disease or Syndrome",2,2
C0024115,"Lung diseases",group,C08,"Disease or Syndrome",700,1141
C0024116,"Lung Diseases, Fungal",group,C01;C08,"Disease or Syndrome",9,9
C0024117,"Chronic Obstructive Airway Disease",disease,C08,"Disease or Syndrome",1428,2221
C0024121,"Lung Neoplasms",group,C04;C08,"Neoplastic Process",1486,2377
C0024131,"Lupus Vulgaris",disease,C01;C17,"Disease or Syndrome",526,685
C0024137,"Lupus Erythematosus, Cutaneous",disease,C17,"Disease or Syndrome",39,29
C0024138,"Lupus Erythematosus, Discoid",disease,C17,"Disease or Syndrome",552,717
C0024140,"Lupus Erythematosus, Subacute Cutaneous",disease,C17,"Disease or Syndrome",39,22
C0024141,"Lupus Erythematosus, Systemic",disease,C17;C20,"Disease or Syndrome",1883,4109
C0024143,"Lupus Nephritis",disease,C13;C17;C12;C20,"Disease or Syndrome",503,628
C0024145,"Chilblain lupus 1",disease,C17;C26,"Disease or Syndrome",7,33
C0024198,"Lyme Disease",disease,C01,"Disease or Syndrome",178,150
C0024205,Lymphadenitis,disease,C15,"Disease or Syndrome",55,36
C0024214,Lymphangiectasis,disease,C15,"Disease or Syndrome",11,8
C0024215,"Lymphangiectasis, Intestinal",disease,C16;C15,"Disease or Syndrome",6,3
C0024221,Lymphangioma,disease,C04,"Neoplastic Process",22,7
C0024224,lymphangiosarcoma,disease,C04,"Neoplastic Process",4,3
C0024225,Lymphangitis,disease,C15,"Disease or Syndrome",4,2
C0024228,"Lymphatic Diseases",group,C15,"Disease or Syndrome",8,7
C0024232,"Lymphatic Metastasis",disease,C23;C04,"Neoplastic Process",463,495
C0024236,Lymphedema,disease,C15,"Pathologic Function",61,5
C0024248,Lymphocele,disease,C04;C15,"Disease or Syndrome",5,2
C0024266,"Lymphocytic Choriomeningitis",disease,C01;C10,"Disease or Syndrome",147,112
C0024282,Lymphocytosis,disease,C15,"Disease or Syndrome",78,70
C0024286,"Lymphogranuloma Venereum",disease,C13;C01;C12,"Disease or Syndrome",4,3
C0024291,"Lymphohistiocytosis, Hemophagocytic",disease,C15,"Disease or Syndrome",117,204
C0024299,Lymphoma,group,C04;C20;C15,"Neoplastic Process",1548,3371
C0024301,"Lymphoma, Follicular",disease,C04;C20;C15,"Neoplastic Process",477,902
C0024302,Reticulosarcoma,disease,C04;C20;C15,"Neoplastic Process",80,80
C0024303,"Small Cell Lymphoma",disease,C04;C20;C15,"Neoplastic Process",8,8
C0024304,"Lymphoma, Mixed-Cell",disease,C04;C20;C15,"Neoplastic Process",21,16
C0024305,"Lymphoma, Non-Hodgkin",disease,C04;C20;C15,"Neoplastic Process",733,1039
C0024306,"Lymphoma, Undifferentiated",disease,C04;C20;C15,"Neoplastic Process",25,19
C0024307,"Lymphomatoid Granulomatosis",disease,C04;C20;C15,"Neoplastic Process",11,7
C0024312,Lymphopenia,disease,C20;C15,"Disease or Syndrome",239,233
C0024314,"Lymphoproliferative Disorders",group,C20;C15,"Neoplastic Process",300,463
C0024408,"Machado-Joseph Disease",disease,C16;C10,"Disease or Syndrome",135,388
C0024419,"Waldenstrom Macroglobulinemia",disease,C04;C20;C15;C14,"Neoplastic Process",162,245
C0024421,Macroglossia,disease,C07,"Disease or Syndrome",115,7
C0024433,Macrostomia,disease,C16;C07,"Congenital Abnormality",148,9
C0024437,"Macular degeneration",disease,C23;C11;C10,"Disease or Syndrome",44,76
C0024439,"Macular corneal dystrophy",disease,C16;C11,"Disease or Syndrome",5,32
C0024440,"Macular Edema, Cystoid",disease,C11,"Disease or Syndrome",49,55
C0024441,"Macular Holes",disease,C11,"Disease or Syndrome",42,34
C0024449,Mycetoma,disease,C01;C17,"Disease or Syndrome",19,10
C0024454,"Maffucci Syndrome",disease,C05,"Disease or Syndrome",8,15
C0024473,"Magnesium Deficiency",disease,C18,"Disease or Syndrome",8,7
C0024507,"Majewski Syndrome",disease,C16;C05,"Disease or Syndrome",20,5
C0024517,"Major depression, single episode",disease,F03,"Mental or Behavioral Dysfunction",42,55
C0024523,"Malabsorption Syndrome",group,C06;C18,"Disease or Syndrome",239,99
C0024528,"Malaise and fatigue",phenotype,NULL,"Sign or Symptom",2,0
C0024530,Malaria,disease,C01,"Disease or Syndrome",685,1258
C0024534,"Malaria, Cerebral",disease,C01;C10,"Disease or Syndrome",148,155
C0024535,"Malaria, Falciparum",disease,C01,"Disease or Syndrome",158,197
C0024537,"Malaria, Vivax",disease,C01,"Disease or Syndrome",60,58
C0024586,"Malignant Carcinoid Syndrome",disease,C04,"Disease or Syndrome",25,45
C0024588,"Malignant essential hypertension",disease,C14,"Disease or Syndrome",1,1
C0024591,"Malignant hyperpyrexia due to anesthesia",disease,C23,"Disease or Syndrome",60,274
C0024620,"Primary Malignant Liver Neoplasm",disease,C06;C04,"Neoplastic Process",60,57
C0024622,"Malignant neoplasm of retina",disease,C04;C11,"Neoplastic Process",1,1
C0024623,"Malignant neoplasm of stomach",disease,C06;C04,"Neoplastic Process",3806,7920
C0024624,"Malignant neoplasm of upper lobe, bronchus or lung",disease,C04;C08,"Neoplastic Process",7,10
C0024636,Malocclusion,disease,C07,"Anatomical Abnormality",128,23
C0024667,"Animal Mammary Neoplasms",phenotype,C04;C22,"Neoplastic Process",147,24
C0024668,"Mammary Neoplasms, Experimental",phenotype,C04,"Neoplastic Process; Experimental Model of Disease",218,98
C0024689,"Mandibular Diseases",group,C05;C07,"Disease or Syndrome",2,2
C0024694,"Mandibular Neoplasms",group,C04;C05;C07,"Neoplastic Process",5,4
C0024710,"Mange, Sarcoptic",disease,C01;C17,"Disease or Syndrome",2,2
C0024713,"Manic Disorder",disease,F03,"Mental or Behavioral Dysfunction",76,36
C0024748,alpha-Mannosidosis,disease,C16;C18,"Disease or Syndrome",2,30
C0024759,Mansonelliasis,disease,C01,"Disease or Syndrome",10,1
C0024776,"Maple Syrup Urine Disease",disease,C16;C18;C10,"Disease or Syndrome",24,114
C0024788,"Marburg Virus Disease",disease,C01;C22,"Disease or Syndrome",4,2
C0024790,"Paroxysmal nocturnal hemoglobinuria",disease,C15,"Disease or Syndrome",132,253
C0024793,"Marek Disease",disease,C01;C20;C15;C22,"Neoplastic Process",47,36
C0024796,"Marfan Syndrome",disease,C16;C17;C05;C14,"Disease or Syndrome",130,612
C0024799,"Marginal ulcer",disease,C06,"Disease or Syndrome",3,3
C0024809,"Marijuana Abuse",disease,C25;F03,"Mental or Behavioral Dysfunction",156,261
C0024814,"Marinesco-Sjogren syndrome",disease,C16;C10,"Disease or Syndrome",133,169
C0024894,Mastitis,disease,C13;C17,"Disease or Syndrome",103,87
C0024897,Mastocytoma,disease,C04;C17,"Neoplastic Process",26,28
C0024899,Mastocytosis,disease,C04;C17;C20,"Disease or Syndrome",98,161
C0024900,"Mastocytosis, Bullous",disease,C04;C17,"Disease or Syndrome",1,1
C0024901,"Mastocytosis, Diffuse Cutaneous",disease,C04;C17,"Neoplastic Process",4,5
C0024902,Mastodynia,phenotype,C23,"Sign or Symptom",12,7
C0024904,Mastoiditis,disease,C01;C05;C09,"Disease or Syndrome",5,2
C0024950,"Maxillary Diseases",group,C05;C07,"Disease or Syndrome",1,1
C0024954,"Maxillary Neoplasms",group,C04;C05;C07,"Neoplastic Process",1,1
C0024958,"Maxillary Sinus Neoplasms",group,C04;C08;C09,"Neoplastic Process",1,1
C0024959,"Maxillary Sinusitis",disease,C01;C08;C09,"Disease or Syndrome",10,3
C0024966,"Maximal Midexpiratory Flow Rate",phenotype,NULL,"Clinical Attribute",1,1
C0024967,"Maximal Voluntary Ventilation",phenotype,NULL,Finding,1,1
C0025007,Measles,disease,C01,"Disease or Syndrome",113,127
C0025037,"Meckel Diverticulum",disease,C23;C16;C06,"Congenital Abnormality",63,2
C0025048,"Meconium Aspiration Syndrome",phenotype,C16;C13;C08,"Disease or Syndrome",38,25
C0025060,"Mediastinal Cyst",disease,C04;C08,"Disease or Syndrome",1,1
C0025062,"Mediastinal Emphysema",phenotype,C23;C08,"Disease or Syndrome",2,3
C0025063,"Mediastinal Neoplasms",group,C04;C08,"Neoplastic Process",9,10
C0025064,Mediastinitis,disease,C08,"Disease or Syndrome",6,5
C0025149,Medulloblastoma,disease,C04,"Neoplastic Process",862,1085
C0025160,Megacolon,phenotype,C06,"Pathologic Function",9,3
C0025164,Megaesophagus,disease,C06,"Disease or Syndrome",10,7
C0025167,"Megakaryocytic hyperplasia",disease,C23,"Disease or Syndrome",8,5
C0025183,"Meige Syndrome",disease,C10,"Disease or Syndrome",2,2
C0025184,"Meigs Syndrome",disease,C04;C13;C19,"Neoplastic Process",3,3
C0025193,Melancholia,disease,F03,"Mental or Behavioral Dysfunction",51,59
C0025202,melanoma,disease,C04,"Neoplastic Process",3087,9309
C0025205,"Melanoma, Experimental",disease,C04,"Neoplastic Process; Experimental Model of Disease",25,18
C0025209,Melanosis,disease,C17,"Disease or Syndrome",26,20
C0025210,"Ocular melanosis",disease,C16;C11;C17,"Congenital Abnormality",2,1
C0025211,"Conjunctival melanosis",disease,C11;C17,"Disease or Syndrome",1,1
C0025218,Chloasma,disease,C17,"Disease or Syndrome",25,23
C0025221,"Meleda Disease",disease,C16;C17,"Disease or Syndrome; Congenital Abnormality",18,46
C0025222,Melena,phenotype,C23;C06,"Pathologic Function",15,0
C0025229,Melioidosis,disease,C01,"Disease or Syndrome",65,50
C0025235,"Melkersson-Rosenthal Syndrome",disease,C10;C07,"Disease or Syndrome",2,2
C0025237,"Melnick-Needles Syndrome",disease,C16;C05,"Disease or Syndrome",23,27
C0025239,Melorheostosis,disease,C05,"Disease or Syndrome",4,12
C0025261,"Memory Disorders",disease,C23;C10;F01,"Mental or Behavioral Dysfunction",62,86
C0025265,"Memory, Short-Term",phenotype,NULL,"Mental Process",10,4
C0025267,"Multiple Endocrine Neoplasia Type 1",disease,C16;C04;C19,"Neoplastic Process",145,499
C0025268,"Multiple Endocrine Neoplasia Type 2a",disease,C16;C04;C19,"Neoplastic Process",69,440
C0025269,"Multiple Endocrine Neoplasia Type 2b",disease,C16;C04;C19,"Neoplastic Process",13,89
C0025281,"Meniere Disease",disease,C09,"Disease or Syndrome",69,56
C0025284,"Meningeal Neoplasms",group,C04;C10,"Neoplastic Process",11,9
C0025286,Meningioma,disease,C04;C10,"Neoplastic Process",634,796
C0025287,Meningism,phenotype,C23;C10,"Sign or Symptom",4,3
C0025289,Meningitis,disease,C10,"Disease or Syndrome",191,171
C0025290,"Aseptic Meningitis",disease,C10,"Disease or Syndrome",17,19
C0025293,"Meningitis, Listeria",disease,C01;C10,"Disease or Syndrome",2,2
C0025294,"Meningococcal meningitis",disease,C01;C10,"Disease or Syndrome",17,19
C0025295,"Meningitis, Pneumococcal",disease,C01;C10,"Disease or Syndrome",88,58
C0025297,"Viral meningitis",disease,C01;C10,"Disease or Syndrome",14,13
C0025299,Meningocele,disease,C23;C16;C05;C10,"Disease or Syndrome",11,4
C0025303,"Meningococcal Infections",group,C01,"Disease or Syndrome",69,85
C0025306,Meningococcemia,disease,C01,"Disease or Syndrome",20,24
C0025309,Meningoencephalitis,disease,C01;C10,"Disease or Syndrome",30,32
C0025310,Meningoencephalomyelitis,disease,C23;C01;C10,"Disease or Syndrome",3,8
C0025312,Meningomyelocele,disease,C16;C10,"Congenital Abnormality",89,52
C0025319,"Menopausal syndrome",disease,C23;C13,"Disease or Syndrome",8,5
C0025322,"Premature Menopause",disease,C13,"Disease or Syndrome",299,500
C0025323,Menorrhagia,phenotype,C23;C13,"Pathologic Function",34,2
C0025349,"Menstruation, Retrograde",disease,C23,"Disease or Syndrome",3,3
C0025362,"Mental Retardation",disease,C23;C16;C10;F03;F01,"Mental or Behavioral Dysfunction",505,899
C0025363,"Mental Retardation, Psychosocial",phenotype,C23;C10;F03;F01,"Mental or Behavioral Dysfunction",142,63
C0025427,"Mercury Poisoning",disease,C25,"Injury or Poisoning",3,3
C0025464,Mesenchymoma,disease,C04,"Neoplastic Process",1,1
C0025467,"Mesenteric Cyst",disease,C06;C04,"Disease or Syndrome",1,0
C0025469,"Mesenteric Lymphadenitis",disease,C06;C15,"Disease or Syndrome",1,1
C0025470,"Mesenteric Panniculitis",disease,C06;C17,"Disease or Syndrome",2,2
C0025472,"Mesenteric Vascular Occlusion",disease,C06;C14,"Disease or Syndrome",3,3
C0025490,Mesonephroma,disease,C04,"Neoplastic Process",2,2
C0025500,Mesothelioma,disease,C04,"Neoplastic Process",560,681
C0025517,"Metabolic Diseases",group,C18,"Disease or Syndrome",945,1512
C0025521,"Inborn Errors of Metabolism",group,C16;C18,"Disease or Syndrome; Congenital Abnormality",119,165
C0025568,Metaplasia,phenotype,C23,"Cell or Molecular Dysfunction",52,54
C0025587,Metatarsalgia,phenotype,C23;C05,"Sign or Symptom",15,2
C0025637,Methemoglobinemia,disease,C15,"Disease or Syndrome",12,28
C0025874,Metrorrhagia,phenotype,C23;C13,"Pathologic Function",17,1
C0025945,"Microangiopathy, Diabetic",disease,C19;C14,"Disease or Syndrome",29,28
C0025958,Microcephaly,disease,C16;C05;C10,"Congenital Abnormality",1064,590
C0025988,Microglossia,disease,C07,"Congenital Abnormality",19,2
C0025990,Micrognathism,disease,C16;C05;C07,"Congenital Abnormality",586,31
C0025995,Micromelia,disease,C16;C05,"Congenital Abnormality",104,5
C0026010,Microphthalmos,disease,C16;C11,"Congenital Abnormality",337,254
C0026034,Microstomia,disease,C16;C07,"Congenital Abnormality",172,4
C0026069,"Middle Lobe Syndrome",disease,C08,"Disease or Syndrome",2,2
C0026103,"Mikulicz Disease",disease,C07,"Disease or Syndrome",2,2
C0026106,"Mild Mental Retardation",disease,C23;C10;F03;F01,"Mental or Behavioral Dysfunction",340,100
C0026141,"Milk-Alkali Syndrome",disease,C18,"Disease or Syndrome",13,18
C0026205,"Miosis disorder",disease,C23;C11;C10,"Disease or Syndrome",20,16
C0026210,"Mirror Writing",phenotype,NULL,"Sign or Symptom",1,1
C0026244,"Mitochondrial Swelling",phenotype,NULL,"Cell or Molecular Dysfunction",1,0
C0026265,"Diseases of mitral valve",group,C14,"Disease or Syndrome",21,18
C0026266,"Mitral Valve Insufficiency",phenotype,C14,"Pathologic Function",94,4
C0026267,"Mitral Valve Prolapse Syndrome",disease,C14,"Disease or Syndrome",111,45
C0026269,"Mitral Valve Stenosis",disease,C14,"Disease or Syndrome",170,157
C0026272,"Mixed Connective Tissue Disease",disease,C17,"Disease or Syndrome",61,34
C0026277,"Mixed Salivary Gland Tumor",disease,C04,"Neoplastic Process",185,195
C0026351,"Moderate intellectual disability",disease,C23;C10;F03;F01,"Mental or Behavioral Dysfunction",251,54
C0026363,"Mohr Syndrome",disease,C16;C05,"Disease or Syndrome",6,5
C0026393,"Molluscum Contagiosum",disease,C01;C17,"Disease or Syndrome",18,13
C0026470,"Monoclonal Gammopathy of Undetermined Significance",disease,C20;C15,"Neoplastic Process",227,191
C0026471,"Monoclonal paraproteinemia",disease,C20;C15,"Neoplastic Process",1,1
C0026499,Monosomy,group,C23,"Congenital Abnormality",214,285
C0026552,"Morphine Dependence",disease,C25;F03,"Mental or Behavioral Dysfunction",44,40
C0026603,"Motion Sickness",disease,C23,"Disease or Syndrome",32,10
C0026613,"Motor Skills Disorders",group,F03,"Mental or Behavioral Dysfunction",8,8
C0026618,"Dental Fluorosis, Acquired",disease,C07,"Disease or Syndrome",62,48
C0026633,"Mouth Abnormalities",group,C16;C07,"Congenital Abnormality",26,1
C0026636,"Mouth Diseases",group,C07,"Disease or Syndrome",17,5
C0026640,"Mouth Neoplasms",group,C04;C07,"Neoplastic Process",140,111
C0026650,"Movement Disorders",group,C10,"Disease or Syndrome",362,1957
C0026654,"Moyamoya Disease",disease,C10;C14,"Disease or Syndrome",117,186
C0026683,Mucocele,disease,C04,"Anatomical Abnormality",1,1
C0026684,"Mucocele of appendix",disease,C23;C04,"Disease or Syndrome",1,1
C0026686,"Mucocele of salivary gland",disease,C23;C04;C07,"Disease or Syndrome",1,1
C0026691,"Mucocutaneous Lymph Node Syndrome",disease,C17;C15;C14,"Disease or Syndrome",370,373
C0026697,Mucolipidoses,disease,C16;C18;C05;C10,"Disease or Syndrome",19,67
C0026703,Mucopolysaccharidoses,disease,C16;C18;C17,"Disease or Syndrome",48,152
C0026705,"Mucopolysaccharidosis II",disease,C16;C18;C17;C10,"Disease or Syndrome",26,180
C0026706,"Mucopolysaccharidosis III",disease,C16;C18;C17,"Disease or Syndrome",17,56
C0026707,"Mucopolysaccharidosis IV",disease,C16;C18;C17,"Disease or Syndrome",28,56
C0026708,"Mucopolysaccharidosis V",disease,C16;C18;C17,"Disease or Syndrome",2,29
C0026709,"Mucopolysaccharidosis VI",disease,C16;C18;C17,"Disease or Syndrome",11,118
C0026718,Mucormycosis,disease,C01,"Disease or Syndrome",9,9
C0026755,"Multiple Carboxylase Deficiency",disease,C16;C18,"Disease or Syndrome",3,12
C0026760,"Multiple Epiphyseal Dysplasia",disease,C16;C05,"Congenital Abnormality",40,94
C0026764,"Multiple Myeloma",disease,C04;C20;C15;C14,"Neoplastic Process",1740,3315
C0026766,"Multiple Organ Failure",phenotype,C23,"Pathologic Function",25,25
C0026769,"Multiple Sclerosis",disease,C20;C10,"Disease or Syndrome",1800,3981
C0026773,"Dissociative Identity Disorder",disease,F03,"Mental or Behavioral Dysfunction",2,2
C0026780,Mumps,disease,C01;C07,"Disease or Syndrome",21,21
C0026821,"Muscle Cramp",phenotype,C23;C05;C10,"Sign or Symptom",26,28
C0026825,"Flaccid Muscle Tone",phenotype,C23;C10,"Sign or Symptom",16,8
C0026826,"Muscle Hypertonia",phenotype,C23;C10,Finding,197,5
C0026827,"Muscle hypotonia",phenotype,C23;C10,Finding,967,2660
C0026837,"Muscle Rigidity",phenotype,C23;C05;C10,"Sign or Symptom",320,191
C0026838,"Muscle Spasticity",phenotype,C23;C05;C10,"Sign or Symptom",580,170
C0026846,"Muscular Atrophy",phenotype,C23;C10,"Pathologic Function",49,48
C0026847,"Spinal Muscular Atrophy",disease,C10,"Disease or Syndrome",320,1041
C0026848,Myopathy,group,C05;C10,"Disease or Syndrome",634,1248
C0026850,"Muscular Dystrophy",disease,C16;C05;C10,"Disease or Syndrome",280,819
C0026851,"Muscular Dystrophy, Animal",disease,C22,"Disease or Syndrome",2,1
C0026857,"Musculoskeletal Diseases",group,C05,"Disease or Syndrome",38,33
C0026858,"Musculoskeletal Pain",phenotype,C23;C05,Finding,3,1
C0026884,Mutism,phenotype,C23;C10;F03,"Disease or Syndrome",47,4
C0026896,"Myasthenia Gravis",disease,C04;C20;C10,"Disease or Syndrome",336,402
C0026916,"Mycobacterium avium-intracellulare Infection",disease,C01,"Disease or Syndrome",58,41
C0026918,"Mycobacterium Infections",group,C01,"Disease or Syndrome",183,284
C0026919,"Mycobacterium Infections, Nontuberculous",group,C01,"Disease or Syndrome",7,4
C0026936,"Mycoplasma Infections",group,C01,"Disease or Syndrome",188,150
C0026946,Mycoses,group,C01,"Disease or Syndrome",94,75
C0026948,"Mycosis Fungoides",group,C04;C20;C15,"Neoplastic Process",251,257
C0026961,Mydriasis,phenotype,C11,"Sign or Symptom",25,15
C0026975,Myelitis,disease,C01;C10,"Disease or Syndrome",22,49
C0026976,"Myelitis, Transverse",disease,C04;C01;C20;C10,"Disease or Syndrome",8,32
C0026985,Myelodysplasia,disease,NULL,"Congenital Abnormality",181,164
C0026987,Myelofibrosis,disease,C23;C04;C15,"Neoplastic Process",163,385
C0026996,"Myeloid hyperplasia",disease,C23,"Disease or Syndrome",5,5
C0026998,"Acute Myeloid Leukemia, M1",disease,C04,"Neoplastic Process",138,77
C0027013,"Myeloid Metaplasia",disease,C23;C15,"Disease or Syndrome",3,3
C0027019,"Myelomonocytic leukemia",disease,C04,"Neoplastic Process",36,21
C0027022,"Myeloproliferative disease",group,C15,"Neoplastic Process",365,1238
C0027051,"Myocardial Infarction",disease,C23;C14,"Disease or Syndrome",1800,3728
C0027055,"Myocardial Reperfusion Injury",phenotype,C23;C14,"Pathologic Function",226,191
C0027059,Myocarditis,disease,C14,"Disease or Syndrome",285,265
C0027063,"Myoclonic disorder",disease,C05;C10,"Disease or Syndrome",1,1
C0027066,Myoclonus,phenotype,C23;C10,"Sign or Symptom",265,136
C0027070,Myoepithelioma,disease,C04,"Neoplastic Process",36,37
C0027073,"Myofascial Pain Syndromes",disease,C05,"Disease or Syndrome",5,5
C0027080,Myoglobinuria,phenotype,C05,Finding,17,5
C0027086,Myoma,disease,C04,"Neoplastic Process",28,22
C0027092,Myopia,disease,C11,"Disease or Syndrome",490,202
C0027095,Myosarcoma,disease,C04,"Neoplastic Process",1,1
C0027121,Myositis,disease,C05;C10,"Disease or Syndrome",254,221
C0027122,"Myositis Ossificans",disease,C05,"Disease or Syndrome",12,11
C0027125,Myotonia,phenotype,C23;C10,Finding,19,9
C0027126,"Myotonic Dystrophy",disease,C16;C05;C10,"Disease or Syndrome",155,406
C0027127,"Myotonia Congenita",disease,C16;C05;C10,"Disease or Syndrome",9,102
C0027145,Myxedema,disease,C17;C19,"Disease or Syndrome",3,8
C0027149,Myxoma,disease,C04,"Neoplastic Process",51,41
C0027333,Nagana,disease,C01,"Disease or Syndrome",10,4
C0027339,"Nail Diseases",group,C17,"Disease or Syndrome",6,6
C0027341,"Nail-Patella Syndrome",disease,C16;C17;C05,"Disease or Syndrome",38,94
C0027401,Narcissism,phenotype,NULL,"Mental or Behavioral Dysfunction",10,9
C0027404,Narcolepsy,disease,C10;F03,"Disease or Syndrome",308,279
C0027412,"Opioid-Related Disorders",group,C25;F03,"Mental or Behavioral Dysfunction",12,7
C0027424,"Nasal congestion (finding)",phenotype,C08;C09,"Sign or Symptom",2,1
C0027429,"Nasal obstruction present finding",phenotype,C08;C09,Finding,7,2
C0027430,"Nasal Polyps",disease,C23;C08;C09,"Disease or Syndrome",484,450
C0027438,"Nasopharyngeal Diseases",group,C07;C09,"Disease or Syndrome",2,2
C0027439,"Nasopharyngeal Neoplasms",group,C04;C07;C09,"Neoplastic Process",40,27
C0027441,Nasopharyngitis,disease,C01;C08;C07;C09,"Disease or Syndrome",19,18
C0027443,"Natal Teeth",phenotype,NULL,Finding,22,0
C0027497,Nausea,phenotype,C23,"Sign or Symptom",161,131
C0027498,"Nausea and vomiting",phenotype,C23,"Sign or Symptom",257,119
C0027533,"Neck Neoplasms",group,C04,"Neoplastic Process",132,102
C0027540,Necrosis,phenotype,C23,"Organ or Tissue Function",60,61
C0027543,"Avascular necrosis of bone",phenotype,C23;C05,"Disease or Syndrome",73,25
C0027547,"Necrotizing Scleritis",disease,C11,"Disease or Syndrome",2,1
C0027562,Negativism,phenotype,F01,"Individual Behavior",12,0
C0027577,"Nelson Syndrome",disease,C04;C10;C19,"Neoplastic Process",4,5
C0027583,"Nematode infections",group,C01,"Disease or Syndrome",33,33
C0027609,"Neonatal Abstinence Syndrome",disease,C16;C25;F03,"Disease or Syndrome",9,11
C0027612,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",group,C16,"Disease or Syndrome; Congenital Abnormality",12,15
C0027613,"Neonatal hepatitis",disease,C16;C06;C01,"Disease or Syndrome",21,21
C0027626,"Neoplasm Invasiveness",phenotype,C23;C04,"Pathologic Function",193,137
C0027627,"Neoplasm Metastasis",phenotype,C23;C04,"Neoplastic Process",6385,28641
C0027643,"Neoplasm Recurrence, Local",phenotype,C23;C04,"Neoplastic Process",39,21
C0027645,"Neoplasm Seeding",phenotype,C23;C04,"Pathologic Function",1,1
C0027651,Neoplasms,group,C04,"Neoplastic Process",10161,104011
C0027654,"Embryonal Neoplasm",disease,C04,"Neoplastic Process",57,46
C0027656,"Neoplasms, Connective Tissue",group,C04;C17,"Neoplastic Process",1,1
C0027658,"Neoplasms, Germ Cell and Embryonal",group,C04,"Neoplastic Process",34,28
C0027659,"Neoplasms, Experimental",phenotype,C04,"Neoplastic Process; Experimental Model of Disease",95,81
C0027660,"Neoplasms, Glandular and Epithelial",group,C04,"Neoplastic Process",7,6
C0027661,"Neoplasms, Hormone-Dependent",phenotype,C04,"Neoplastic Process",4,2
C0027662,"Multiple Endocrine Neoplasia",disease,C16;C04;C19,"Neoplastic Process",65,216
C0027663,"Neoplasms, Multiple Primary",phenotype,C04,"Neoplastic Process",8,5
C0027665,"Neoplasms, Nerve Tissue",disease,C04,"Neoplastic Process",1,1
C0027666,"Neoplasms, Radiation-Induced",phenotype,C04;C26,"Neoplastic Process",11,9
C0027668,"Neoplasms, Vascular Tissue",group,C04,"Neoplastic Process",67,57
C0027672,"Neoplastic Syndromes, Hereditary",group,C16;C04,"Neoplastic Process",88,4312
C0027686,"Pathologic Neovascularization",phenotype,C23,"Pathologic Function",16,17
C0027697,Nephritis,disease,C13;C12,"Disease or Syndrome",296,317
C0027706,"Hereditary nephritis",disease,C16;C13;C17;C12,"Disease or Syndrome",9,28
C0027707,"Nephritis, Interstitial",disease,C13;C12,"Disease or Syndrome",79,71
C0027708,Nephroblastoma,disease,C16;C04;C13;C12,"Neoplastic Process",586,1020
C0027709,Nephrocalcinosis,disease,C18;C13;C12,"Disease or Syndrome",118,118
C0027719,Nephrosclerosis,disease,C13;C12,"Disease or Syndrome",41,20
C0027720,Nephrosis,disease,C13;C12,"Disease or Syndrome",68,61
C0027721,"Lipoid nephrosis",disease,C13;C12,"Disease or Syndrome",50,74
C0027726,"Nephrotic Syndrome",group,C13;C12,"Disease or Syndrome",384,463
C0027743,"Nerve compression syndrome",disease,C10,"Disease or Syndrome",5,5
C0027746,"Nerve Degeneration",phenotype,C23,"Cell or Molecular Dysfunction",165,106
C0027765,"nervous system disorder",group,C10,"Disease or Syndrome",977,1377
C0027766,"Nervous System Neoplasms",group,C04;C10,"Neoplastic Process",68,54
C0027769,Nervousness,phenotype,F01,"Sign or Symptom",6,1
C0027773,Nesidioblastosis,disease,C16;C06;C18,"Disease or Syndrome",12,9
C0027794,"Neural Tube Defects",group,C16;C10,"Congenital Abnormality",304,456
C0027796,Neuralgia,phenotype,C23;C10,"Sign or Symptom",767,1036
